Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP,Player-additional
51,Tobias Harris,PF,31,PHI,12,441,18.4,.662,.232,.280,3.1,17.0,10.4,11.7,1.1,1.0,11.1,19.7,,1.1,0.4,1.5,.161,,2.3,-0.4,1.9,0.4,harrito02
52,Isaiah Joe,SG,24,OKC,12,234,14.7,.658,.819,.205,0.5,10.5,6.1,7.0,2.0,0.4,8.1,18.2,,0.4,0.3,0.6,.132,,1.8,0.1,1.9,0.2,joeis01
53,Damian Lillard,PG,33,MIL,10,329,21.7,.601,.534,.583,2.1,11.6,7.1,25.4,1.6,0.3,12.4,30.6,,0.9,0.2,1.1,.156,,3.8,-1.9,1.9,0.3,lillada01
54,LaMelo Ball,PG,22,CHO,11,370,19.3,.546,.429,.269,5.3,12.5,8.7,37.6,2.2,0.7,16.2,31.6,,0.4,0.1,0.5,.060,,3.3,-1.4,1.8,0.4,ballla01
55,Kyle Anderson,PF,30,MIN,11,273,12.9,.580,.164,.328,3.4,12.5,8.3,21.8,2.1,2.6,23.1,14.4,,0.1,0.5,0.7,.118,,-1.4,3.1,1.6,0.3,anderky01
56,Cason Wallace,SG,20,OKC,12,271,14.6,.776,.373,.136,3.2,8.4,6.0,10.8,1.4,1.6,10.1,11.1,,0.7,0.3,1.0,.174,,0.9,0.7,1.6,0.2,wallaca01
57,Evan Mobley,PF,22,CLE,12,395,19.9,.581,.046,.303,10.6,23.1,17.0,14.8,1.2,4.6,12.7,21.7,,0.6,0.6,1.2,.150,,0.5,1.1,1.5,0.4,mobleev01
58,Dejounte Murray,SG,27,ATL,12,414,18.1,.587,.348,.222,1.6,12.3,7.0,24.0,1.9,0.8,12.5,24.8,,0.7,0.2,0.9,.110,,2.3,-0.8,1.5,0.4,murrade01
59,Kelly Oubre Jr.,SF,28,PHI,8,232,17.5,.611,.394,.298,5.5,13.6,9.7,3.1,2.3,1.2,6.2,20.5,,0.5,0.3,0.7,.153,,1.6,-0.2,1.4,0.2,oubreke01
60,Jaylen Brown,SF,27,BOS,11,373,17.2,.576,.412,.226,1.5,13.9,7.9,15.3,1.4,1.2,11.3,28.6,,0.3,0.6,0.9,.121,,1.1,0.3,1.3,0.3,brownja02
61,DeMar DeRozan,SF,34,CHI,12,420,18.9,.528,.124,.364,3.1,6.6,4.8,20.6,1.5,3.0,4.7,26.4,,0.7,0.3,1.0,.113,,1.8,-0.5,1.3,0.3,derozde01
62,Dario Šarić,C,29,GSW,13,276,15.3,.548,.544,.184,8.3,23.6,15.6,14.2,1.2,1.6,9.7,18.4,,0.4,0.3,0.8,.132,,1.0,0.3,1.3,0.2,saricda01
63,Dennis Schröder,PG,30,TOR,12,381,16.3,.547,.405,.255,2.2,8.4,5.2,34.4,1.5,0.5,11.9,21.6,,0.6,0.4,1.0,.127,,1.4,-0.1,1.3,0.3,schrode01
64,Cam Thomas,SG,22,BRK,8,259,21.6,.579,.321,.285,0.8,11.4,6.2,11.4,1.3,1.8,5.1,32.1,,0.5,0.2,0.7,.134,,2.4,-1.1,1.3,0.2,thomaca02
65,Tyler Herro,SG,24,MIA,8,272,17.8,.561,.401,.164,1.2,15.3,8.2,23.6,2.0,0.0,10.9,29.6,,0.1,0.3,0.4,.079,,1.6,-0.5,1.2,0.2,herroty01
66,Jakob Poeltl,C,28,TOR,12,308,18.3,.660,.000,.241,11.8,22.7,17.1,12.0,1.7,2.9,17.2,16.1,,0.5,0.5,1.0,.153,,-0.5,1.6,1.2,0.2,poeltja01
67,Luguentz Dort,SF,24,OKC,12,351,14.7,.651,.545,.354,5.2,10.7,8.2,4.9,2.2,3.0,10.2,15.7,,0.6,0.5,1.1,.147,,0.3,0.8,1.1,0.3,dortlu01
68,Aaron Gordon,PF,28,DEN,12,398,16.7,.586,.198,.260,7.2,15.9,11.8,15.4,1.7,2.5,13.6,18.5,,0.5,0.6,1.1,.134,,0.3,0.8,1.1,0.3,gordoaa01
69,Trae Young,PG,25,ATL,11,393,19.0,.532,.402,.557,2.0,6.2,4.1,43.7,2.1,0.0,15.7,30.1,,0.8,0.1,0.9,.114,,3.8,-2.7,1.1,0.3,youngtr01
70,Jae Crowder,PF,33,MIL,9,240,12.2,.698,.660,.255,1.9,13.4,7.9,8.2,1.4,1.1,7.1,10.1,,0.4,0.2,0.6,.122,,1.0,0.0,1.0,0.2,crowdja01
